winery name|wine|price|type|vintage|varietal
Stacked Stone Cellars|Gem|$16.00|red|2004|Blend
|Zin Stone|$15.00|red|2004|Zinfandel
STANGER Vineyards|Roget Viognier|$19.00|white|2007|Viognier
|TEMPRANILLO |$45.00|red|2007|Tempranillo
|PINOT NOIR|$114.00|red|2006|Pinot Noir
Starr Ranch Vineyards and Winery|Estate Viognier |$22.00|white|2009|Viognier
|Estate Grenache |$24.00|red|2007|Grenache 
|Estate Cabernet Sauvignon |$28.00|red|2007|Cabernet Sauvignon
Steinbeck Vineyards & Winery|Petite Sirah|$55.00|red|2006|Syrah
| Viognier|$29.00|white|2007| Viognier
|Cabernet Sauvignon|$42.00|red|2006|Cabernet Sauvignon
Stephen's Cellar|Pinot Grigio|-|red|2007|Pinot Grigio
| Chardonnay|-|white|2006| Chardonnay
Still Waters Vineyards|Sauvignon Blanc |$18.00|white|2009|Sauvignon Blanc 
|Chardonnay|$20.00|white|2009|Chardonnay
|Zinfandel |$32.00|red|2008|Zinfandel 
Summerwood Winery|Cabernet Sauvignon |$34.00|red|2005|Cabernet Sauvignon 
|Syrah|$75.00|red|2004|Syrah
|Viognier |$30.00|red|2006|Viognier 
Tablas Creek Vineyard|Roussanne |$30.00|white|2008|Roussanne 
|Syrah |$40.00|red|2007|Syrah
|Vin de Paille Quintessence |$85.00|dessert|2006|Roussanne 
Tackitt Family Vineyards|Swisscolena Zinfandel|$21.00|red|2007|Zinfandel
| Riesling|$14.25|white|2008| Riesling
|Bravo Zulu|$28.00|red|2008|Blend
Tassajara Cellars|Pinot Noir|$26.00|red|2006|Pinot Noir
|Rousse Rouge|$24.00|red|2005|Syrah
Terry Hoage Vineyards |''The 46''|$50.00|red|2007|Blend
|''The Pick''|$50.00|red|2007|Rhone
Thacher Winery| Viognier|$25.00|white|2009| Viognier
| Zinfandel|$29.00|red|2007| Zinfandel
|Syrah|$30.00|red|2006|Syrah
Thunderbolt Winery|Rhapsody Zinfandel|$22.00|red|2005|Zinfandel
|Mystic Merlot|$24.99|red|2005|Merlot
|Dry Muscat|$18.00|white|2005|Muscat
Tobin James Cellars|Sauvignon Blanc|$14.00|white|2008|Sauvignon Blanc
| Merlot|$16.00|red|2007| Merlot
|Riesling|$12.00|dessert|2008|Riesling
Venteux Vineyards| Petite Syrah |$36.00|red|2007|Syrah
|Grenache|$28.00|red|2007|Grenache
| Cabernet Sauvignon|$48.00|red|2007| Cabernet Sauvignon
Victor Hugo Winery|Merlot|$18.00|red|2006|Merlot
|Syrah Rose|$14.00|rose|2007|Syrah
|Viognier|$18.00|white|2009|Viognier
